STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,MESH,DATEOUT,IADW,IODW,DATEIN,FWW,FOW,LENGTH,IADW1,IODW1,IASH,FASH,IAFW,FAFW,PRM,PAFRM,KDW,KAFW,TYPE1,TIMEOUT,COMMENT,FLAG
TD023,9,"LIDET_AND",1,5,"ACSA",L,3944,1.0,1990-10-19,10.017,9.506,1995-10-26,10.450,2.060,,,,4.710,14.900,9.058,1.753,21.671,19.353,-0.305,-0.327,L,5.02,,
TD023,9,"LIDET_AND",1,5,"ANGE",R,46484,0.1,1990-10-19,6.998,6.683,1995-10-26,7.020,2.830,,,,20.100,47.410,5.340,1.488,42.346,27.865,-0.171,-0.255,R,5.02,,
TD023,9,"LIDET_AND",1,5,"DRGL",L,4984,1.0,1990-10-19,10.038,9.707,1995-10-26,7.650,1.680,,,,7.800,9.480,8.950,1.521,17.307,16.994,-0.350,-0.353,L,5.02,,
TD023,9,"LIDET_AND",1,5,"DRGL",R,46887,0.1,1990-10-19,6.970,6.712,1995-10-26,9.950,2.700,,,,6.950,11.560,6.246,2.388,40.226,38.232,-0.181,-0.192,R,5.02,,
TD023,9,"LIDET_AND",1,5,"GOBA",A,68804,,1990-10-19,55.668,51.382,1995-10-26,30.350,22.380,30.50,27.834,25.691,1.470,1.690,25.313,22.002,87.112,86.920,-0.027,-0.028,W,5.02,,
TD023,9,"LIDET_AND",1,5,"GOBA",B,68804,,1990-10-19,55.668,51.382,1995-10-26,15.930,6.380,27.00,24.640,22.743,1.470,0.070,22.409,6.376,28.053,28.453,-0.253,-0.250,W,5.02,,
TD023,9,"LIDET_AND",1,5,"PIEL",R,48389,0.1,1990-10-19,7.030,6.404,1995-10-26,10.510,3.010,,,,6.300,8.770,6.001,2.746,47.002,45.759,-0.150,-0.156,R,5.02,,
TD023,9,"LIDET_AND",1,5,"PIRE",L,2264,1.0,1990-10-19,10.030,9.749,1995-10-26,18.080,4.680,,,,1.700,10.110,9.583,4.207,48.005,43.901,-0.146,-0.164,L,5.02,,
TD023,9,"LIDET_AND",1,5,"PSME",L,208,1.0,1990-10-19,10.009,9.569,1995-10-26,12.320,3.060,,,,11.900,15.940,8.430,2.572,31.978,30.510,-0.227,-0.237,L,5.02,,
TD023,9,"LIDET_AND",1,5,"QUPR",L,4143,1.0,1990-10-19,10.153,9.524,1995-10-26,11.090,2.120,,,,4.390,11.120,9.106,1.884,22.260,20.690,-0.299,-0.314,L,5.02,,
TD023,9,"LIDET_AND",1,5,"THPL",L,785,1.0,1990-10-19,10.018,9.497,1995-10-26,14.320,3.710,,,,7.790,11.760,8.757,3.274,39.065,37.387,-0.187,-0.196,L,5.02,,
TD023,9,"LIDET_AND",1,5,"TRAE",L,2893,1.0,1990-10-19,9.971,9.502,1995-10-26,24.750,4.530,,,,2.820,13.400,9.234,3.923,47.674,42.484,-0.148,-0.171,L,5.02,,
TD023,9,"LIDET_AND",1,6,"ACSA",L,3940,1.0,1990-10-19,10.098,9.583,1996-10-21,8.568,1.842,,,,4.710,15.010,9.132,1.566,19.222,17.148,-0.275,-0.294,L,6.01,,
TD023,9,"LIDET_AND",1,6,"ANGE",R,46480,0.1,1990-10-19,7.055,6.738,1996-10-21,5.548,2.448,,,,22.500,61.870,5.222,0.933,36.331,17.867,-0.169,-0.287,R,6.01,,
TD023,9,"LIDET_AND",1,6,"DRGL",L,4980,1.0,1990-10-19,9.969,9.640,1996-10-21,4.006,0.924,,,,7.800,20.810,8.888,0.732,9.585,8.236,-0.390,-0.416,L,6.01,,
TD023,9,"LIDET_AND",1,6,"DRGL",R,46883,0.1,1990-10-19,7.032,6.772,1996-10-21,5.261,1.847,,,,6.950,9.430,6.301,1.673,27.274,26.551,-0.216,-0.221,R,6.01,,
TD023,9,"LIDET_AND",1,6,"GOBA",A,68808,,1990-10-19,48.725,44.973,1996-10-21,36.773,14.741,30.50,24.363,22.487,1.470,1.160,22.156,14.570,65.553,65.761,-0.070,-0.070,W,6.01,,
TD023,9,"LIDET_AND",1,6,"PIEL",R,48385,0.1,1990-10-19,6.976,6.355,1996-10-21,12.247,3.620,,,,6.300,17.270,5.955,2.995,56.963,50.294,-0.094,-0.114,R,6.01,,
TD023,9,"LIDET_AND",1,6,"QUPR",L,8707,1.0,1990-10-19,10.043,9.360,1996-10-21,8.002,1.778,,,,4.390,10.990,8.949,1.583,18.996,17.689,-0.277,-0.288,L,6.01,,
TD023,9,"LIDET_AND",1,6,"SPAL",L,728,1.0,1990-10-19,9.955,9.169,1996-10-21,12.525,2.465,,,,12.220,11.960,8.049,2.170,26.884,26.960,-0.219,-0.218,L,6.01,,
TD023,9,"LIDET_AND",1,6,"THPL",L,781,1.0,1990-10-19,10.083,9.559,1996-10-21,10.426,2.347,,,,7.790,7.760,8.814,2.165,24.553,24.563,-0.234,-0.234,L,6.01,,
TD023,9,"LIDET_AND",1,6,"TRAE",L,2889,1.0,1990-10-19,10.028,9.557,1996-10-21,16.347,3.052,,,,2.820,8.260,9.287,2.800,31.935,30.150,-0.190,-0.200,L,6.01,,
TD023,9,"LIDET_AND",1,7,"ACSA",L,3936,1.0,1990-10-19,10.070,9.556,1997-10-17,12.370,2.860,,,,4.710,9.650,9.106,2.584,29.929,28.377,-0.172,-0.180,L,7.00,,
TD023,9,"LIDET_AND",1,7,"ANGE",R,46476,0.1,1990-10-19,6.992,6.677,1997-10-17,5.670,3.120,,,,32.300,69.180,4.520,0.962,46.728,21.283,-0.109,-0.221,R,7.00,,
TD023,9,"LIDET_AND",1,7,"BOGR",L,8589,1.0,1990-10-19,7.099,6.709,1997-10-17,6.180,1.510,,,,10.160,27.970,6.027,1.088,22.507,18.052,-0.213,-0.245,L,7.00,,
TD023,9,"LIDET_AND",1,7,"DRGL",L,4976,1.0,1990-10-19,10.025,9.694,1997-10-17,0.720,0.220,,,,7.800,6.120,8.938,0.207,2.269,2.316,-0.541,-0.538,L,7.00,,X
TD023,9,"LIDET_AND",1,7,"DRGL",R,46879,0.1,1990-10-19,7.096,6.833,1997-10-17,7.740,2.250,,,,6.950,7.130,6.358,2.090,32.928,32.872,-0.159,-0.159,R,7.00,,
TD023,9,"LIDET_AND",1,7,"GOBA",A,68812,,1990-10-19,45.748,42.225,1997-10-17,31.420,11.450,26.10,19.574,18.067,1.470,0.010,17.801,11.449,63.375,64.317,-0.065,-0.063,W,7.00,T,
TD023,9,"LIDET_AND",1,7,"PIEL",R,48381,0.1,1990-10-19,7.010,6.386,1997-10-17,6.060,2.140,,,,6.300,9.500,5.984,1.937,33.511,32.370,-0.156,-0.161,R,7.00,,
TD023,9,"LIDET_AND",1,7,"PIRE",L,2257,1.0,1990-10-19,10.013,9.733,1997-10-17,10.370,2.620,,,,1.700,6.320,9.568,2.454,26.919,25.648,-0.188,-0.195,L,7.00,,
TD023,9,"LIDET_AND",1,7,"QUPR",L,4136,1.0,1990-10-19,9.993,9.373,1997-10-17,10.100,2.340,,,,4.390,7.780,8.962,2.158,24.965,24.079,-0.198,-0.204,L,7.00,,
TD023,9,"LIDET_AND",1,7,"THPL",L,777,1.0,1990-10-19,9.978,9.459,1997-10-17,16.130,3.880,,,,7.790,6.100,8.722,3.643,41.019,41.768,-0.127,-0.125,L,7.00,,
TD023,9,"LIDET_AND",1,7,"TRAE",L,2885,1.0,1990-10-19,9.988,9.519,1997-10-17,2.720,0.600,,,,2.820,22.060,9.251,0.468,6.303,5.059,-0.395,-0.427,L,7.00,,
TD023,9,"LIDET_AND",1,8,"ACSA",L,3932,1.0,1990-10-19,10.020,9.509,1998-11-02,9.640,2.390,,,,4.710,20.170,9.061,1.908,25.134,21.057,-0.172,-0.194,L,8.04,,
TD023,9,"LIDET_AND",1,8,"ANGE",R,46472,0.1,1990-10-19,6.980,6.666,1998-11-02,5.440,1.760,,,,16.900,64.010,5.539,0.633,26.403,11.428,-0.166,-0.270,R,8.04,,
TD023,9,"LIDET_AND",1,8,"DRGL",L,4972,1.0,1990-10-19,10.038,9.707,1998-11-02,4.430,1.220,,,,7.800,18.110,8.950,0.999,12.568,11.162,-0.258,-0.273,L,8.04,,
TD023,9,"LIDET_AND",1,8,"DRGL",R,46875,0.1,1990-10-19,7.076,6.814,1998-11-02,5.870,1.290,,,,6.950,6.920,6.340,1.201,18.932,18.943,-0.207,-0.207,R,8.04,,
TD023,9,"LIDET_AND",1,8,"GOBA",A,68816,,1990-10-19,49.266,45.473,1998-11-02,20.820,11.030,26.50,21.402,19.755,1.470,1.520,19.465,10.862,55.834,55.803,-0.073,-0.073,W,8.04,,
TD023,9,"LIDET_AND",1,8,"GOBA",B,68816,,1990-10-19,49.266,45.473,1998-11-02,23.560,15.040,33.50,27.056,24.973,1.470,12.310,24.606,13.189,60.225,53.601,-0.063,-0.078,W,8.04,,
TD023,9,"LIDET_AND",1,8,"PIEL",R,48377,0.1,1990-10-19,7.025,6.400,1998-11-02,10.800,3.190,,,,6.300,18.200,5.997,2.609,49.844,43.505,-0.087,-0.104,R,8.04,,
TD023,9,"LIDET_AND",1,8,"PIRE",L,2254,1.0,1990-10-19,10.031,9.750,1998-11-02,13.380,3.460,,,,1.700,11.640,9.584,3.057,35.487,31.897,-0.129,-0.142,L,8.04,,
TD023,9,"LIDET_AND",1,8,"POTR",L,156,1.0,1990-10-19,10.065,9.612,1998-11-02,13.220,3.080,,,,7.700,11.020,8.872,2.741,32.043,30.895,-0.142,-0.146,L,8.04,,
TD023,9,"LIDET_AND",1,8,"QUPR",L,4132,1.0,1990-10-19,10.013,9.392,1998-11-02,14.960,3.680,,,,4.390,11.760,8.980,3.247,39.182,36.158,-0.117,-0.127,L,8.04,,
TD023,9,"LIDET_AND",1,8,"THPL",L,772,1.0,1990-10-19,10.074,9.550,1998-11-02,8.250,2.400,,,,7.790,12.390,8.806,2.103,25.131,23.881,-0.172,-0.178,L,8.04,,
TD023,9,"LIDET_AND",1,8,"TRAE",L,2881,1.0,1990-10-19,10.068,9.595,1998-11-02,7.640,1.840,,,,2.820,16.740,9.324,1.532,19.177,16.431,-0.205,-0.225,L,8.04,,
TD023,9,"LIDET_AND",1,9,"ACSA",L,3928,1.0,1990-10-19,10.016,9.505,1999-10-21,4.310,2.080,,,,4.710,17.400,9.057,1.718,21.883,18.969,-0.169,-0.185,L,9.00,,
TD023,9,"LIDET_AND",1,9,"ANGE",R,46468,0.1,1990-10-19,7.002,6.687,1999-10-21,4.050,3.030,,,,32.600,71.900,4.507,0.851,45.312,18.882,-0.088,-0.185,R,9.00,,
TD023,9,"LIDET_AND",1,9,"DRGL",L,4968,1.0,1990-10-19,9.983,9.654,1999-10-21,2.090,1.300,,,,7.800,16.050,8.901,1.091,13.466,12.257,-0.223,-0.233,L,9.00,,
TD023,9,"LIDET_AND",1,9,"DRGL",R,46871,0.1,1990-10-19,7.006,6.747,1999-10-21,3.040,2.040,,,,6.950,13.730,6.278,1.760,30.236,28.034,-0.133,-0.141,R,9.00,,
TD023,9,"LIDET_AND",1,9,"GOBA",A,68820,,1990-10-19,49.614,45.794,1999-10-21,18.740,16.010,29.00,23.587,21.771,1.470,1.520,21.451,15.767,73.538,73.502,-0.034,-0.034,W,9.00,,
TD023,9,"LIDET_AND",1,9,"GOBA",B,68820,,1990-10-19,49.614,45.794,1999-10-21,10.190,6.660,24.50,19.927,18.393,1.470,7.000,18.123,6.194,36.209,34.178,-0.113,-0.119,W,9.00,,
TD023,9,"LIDET_AND",1,9,"PIEL",R,48060,0.1,1990-10-19,7.089,6.458,1999-10-21,5.880,3.830,,,,6.300,19.110,6.051,3.098,59.306,51.198,-0.058,-0.074,R,9.00,,
TD023,9,"LIDET_AND",1,9,"PIRE",L,2209,1.0,1990-10-19,10.005,9.725,1999-10-21,4.410,2.420,,,,1.700,6.720,9.560,2.257,24.884,23.609,-0.154,-0.160,L,9.00,,
TD023,9,"LIDET_AND",1,9,"PIST",L,284,1.0,1990-10-19,10.036,9.504,1999-10-21,3.650,1.580,,,,3.950,12.050,9.129,1.390,16.625,15.226,-0.199,-0.209,L,9.00,,
TD023,9,"LIDET_AND",1,9,"QUPR",L,4128,1.0,1990-10-19,10.033,9.411,1999-10-21,5.570,2.150,,,,4.390,14.260,8.998,1.843,22.846,20.482,-0.164,-0.176,L,9.00,,
TD023,9,"LIDET_AND",1,9,"THPL",L,768,1.0,1990-10-19,10.012,9.491,1999-10-21,4.180,2.370,,,,7.790,11.600,8.752,2.095,24.971,23.937,-0.154,-0.159,L,9.00,,
TD023,9,"LIDET_AND",1,9,"TRAE",L,2837,1.0,1990-10-19,10.083,9.609,1999-10-21,9.660,3.510,,,,2.820,11.030,9.338,3.123,36.528,33.444,-0.112,-0.122,L,9.00,,
TD023,9,"LIDET_AND",1,10,"ACSA",L,3924,1.0,1990-10-19,10.026,9.515,2000-10-30,9.549,1.960,,,,4.710,15.780,9.067,1.651,20.599,18.209,-0.157,-0.170,L,10.03,,
TD023,9,"LIDET_AND",1,10,"ANGE",R,46464,0.1,1990-10-19,7.006,6.691,2000-10-30,4.692,1.562,,,,11.700,50.000,5.908,0.781,23.345,13.219,-0.145,-0.202,R,10.03,,
TD023,9,"LIDET_AND",1,10,"DRGL",L,4964,1.0,1990-10-19,9.998,9.668,2000-10-30,3.918,0.836,,,,7.800,20.440,8.914,0.665,8.647,7.460,-0.244,-0.259,L,10.03,,
TD023,9,"LIDET_AND",1,10,"DRGL",R,46867,0.1,1990-10-19,6.971,6.713,2000-10-30,3.585,0.748,,,,6.950,20.400,6.246,0.595,11.143,9.526,-0.219,-0.234,R,10.03,,
TD023,9,"LIDET_AND",1,10,"DRGL",R,46868,0.1,1990-10-19,7.095,6.832,2000-10-30,3.752,0.631,,,,6.950,8.570,6.357,0.577,9.236,9.077,-0.237,-0.239,R,10.03,,
