Jar,Exp,plot,Ring,CO2,N,NoSp,NoGrp,MonoSp,MonoGrp,D1.DRR,D4.DRR,D7.DRR,D13.DRR,D27.DRR,D46.DRR,D74.DRR,D152.DRR,D168.DRR,D222.DRR,D273.DRR,D324.DRR,D391.DRR,D1.CR,D4.CR,D7.CR,D13.CR,D27.CR,D46.CR,D74.CR,D152.CR,D168.CR,D222.CR,D273.CR,D324.CR,D391.CR,TC,NHC
72,e141,225,4,Camb,Nenrich,1,1,AgropyronRepens,C-3,0.004093818,0.003068102,0.002826,0.002243831,0.001471695,0.001976863,0.001279129,0.001708953,0.00115754,0.000729,0.001124,0.001211,0.001054,0.0040938,0.0143238,0.0230438,0.0379619,0.0635845,0.0965984,0.1418335,0.2585836,0.2812398,0.3319746,0.3794322,0.4390056,0.5147834,0.6579,2.39
73,e141,199,4,Camb,Namb,1,1,SolidagoRigida,Forb,0.003608879,0.00280857,0.002707,0.002222842,0.001708701,0.001428014,0.001567228,0.000636299,0.001338,0.000603,0.000881,0.000927,0.000801,0.0036089,0.0128349,0.0210567,0.0356033,0.062867,0.0925255,0.1345285,0.2200006,0.2361458,0.2881785,0.3261557,0.3722788,0.4301068,0.4851,2.02
74,e141,188,4,Camb,Namb,16,4,,,0.002924692,0.003576659,0.003076,0.002426044,0.002178846,0.001766595,0.001856537,0.001065708,0.00133978,0.001111,0.000389,0.000449,0.001045,0.0029247,0.0130027,0.0227318,0.0389136,0.0710242,0.1082998,0.1590686,0.2726408,0.2920217,0.3580846,0.3959826,0.417391,0.4677419,0.7068,2.29
75,e141,153,3,Cenrich,Namb,1,1,SolidagoRigida,Forb,0.006451512,0.006451512,0.005604,0.004301123,0.00345113,0.003182615,0.002707254,0.00206568,0.00141798,0.001431,0.000912,0.000513,0.000942,0.0064515,0.025806,0.0434659,0.0725303,0.1263711,0.1892574,0.2714779,0.4573016,0.484847,0.561767,0.6212426,0.6573894,0.706355,0.6217,1.453
76,e141,236,4,Camb,Nenrich,16,4,,,0.006991092,0.006171081,0.005507,0.004533539,0.004564731,0.004906073,0.003545018,0.002379182,0.0026458,0.00188,0.001188,0.00054,0.000867,0.0069911,0.0263243,0.0435104,0.0731464,0.1368499,0.2269932,0.344628,0.5750889,0.615422,0.7372286,0.8151052,0.8588479,0.9061683,0.9203,3.264
77,e141,234,4,Camb,Nenrich,16,4,,,0.006940276,0.004774507,0.0049,0.004239095,0.003620865,0.002533059,0.001475972,0.001644278,0.00097134,0.001145,0.000661,0.000794,0.00039,0.0069403,0.0234296,0.038004,0.0650907,0.1198014,0.1777197,0.2333176,0.3550915,0.37568,0.4328983,0.4786931,0.5158599,0.5553178,0.3003,1.137
78,e141,277,5,Cenrich,Namb,1,1,SorghastrumNutans,C-4,0.007123746,0.005599333,0.005039,0.004309336,0.003879397,0.00296419,0.003105532,0.001841757,0.00174232,0.000938,0.0006,0.001195,0.001299,0.0071237,0.0254462,0.0411236,0.0688038,0.12591,0.1904665,0.2755133,0.4678257,0.4964485,0.5684037,0.6074453,0.6535195,0.7371143,0.4921,1.75
79,e141,283,5,Cenrich,Namb,16,4,,,0.005937997,0.005309216,0.004723,0.003580928,0.003255968,0.00290729,0.002223891,0.001965563,0.00215364,0.001317,0.001118,0.000902,0.000716,0.005938,0.0224944,0.0372502,0.0615915,0.1092873,0.1676639,0.2391588,0.4024183,0.4354659,0.528745,0.5907408,0.6421671,0.6962976,0.5874,1.76
80,e141,267,5,Cenrich,Nenrich,16,4,,,0.003124228,0.002543929,0.002114,0.001039839,NA,0.002330962,0.001620368,0.001274193,0.00202902,0.000714,0.000699,0.000453,0.001112,0.0031242,0.0113363,0.0181079,0.0270318,0.0464313,0.0849095,0.1398728,0.2525876,0.2793907,0.3527988,0.3888315,0.418081,0.4708174,0.3862,1.22
81,e141,248,5,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,0.002216499,0.001803045,0.002092,0.0012785,0.00098769,0.00127371,0.000624613,0.001168744,0.00080331,0.000519,0.000355,0.000373,0.000545,0.0022165,0.0080391,0.0140261,0.0237308,0.0394487,0.061075,0.087327,0.15754,0.1731337,0.2086936,0.230911,0.2495062,0.2803709,0.5402,1.73
82,e141,272,5,Cenrich,Namb,16,4,,,0.008173147,0.006671239,0.005681,0.004876219,0.004522145,0.003603982,0.002880778,0.001740186,0.002759,0.001966,0.001457,0.001388,0.001128,0.0081731,0.0296888,0.0477224,0.0789922,0.1446037,0.2213429,0.3117679,0.4914152,0.5279181,0.6550956,0.7421245,0.8146481,0.898817,0.8302,2.14
83,e141,275,5,Cenrich,Nenrich,16,4,,,0.031265864,0.020260019,0.014479,0.011079518,0.010576825,0.008120588,0.005580418,0.003370723,0.00334047,0.002177,0.001485,0.001271,0.001579,0.0312659,0.1030518,0.1522701,0.2272463,0.3785894,0.5549867,0.7455307,1.0935203,1.1471947,1.2955746,1.3886086,1.4587901,1.5544147,1.024,3.06
84,e141,202,4,Camb,Namb,1,1,BromusInermis,C-3,0.003170453,0.00215316,0.002283,0.00141653,0.000861915,0.001097982,0.000945798,0.000781147,0.00063375,0.000486,0.000682,0.000193,0.000257,0.0031705,0.0106472,0.0173664,0.0280318,0.0437036,0.0624406,0.0909775,0.158246,0.1694915,0.1996609,0.2295514,0.2516296,0.2667512,0.4581,1.42
85,e141,304,5,Cenrich,Namb,1,1,LespedezaCapitata,Legume,0.004704492,0.004573522,0.003982,0.002793567,0.002426262,0.00180858,0.000553607,0.001292479,0.0010504,0.000468,0.000625,0.000599,0.000565,0.0047045,0.018556,0.0310932,0.0508254,0.0871805,0.1271027,0.1595458,0.2319126,0.2505346,0.2912407,0.3191932,0.3503953,0.3893627,0.6473,1.87
86,e141,253,5,Cenrich,Nenrich,16,4,,,0.003666131,0.002826177,0.003219,0.002354916,0.00108345,0.002179628,0.001672236,0.001633388,0.00172856,0.001417,0.000841,0.001076,0.000428,0.0036661,0.0129846,0.0222484,0.0385376,0.0619705,0.0935178,0.1471902,0.2760901,0.3030333,0.387805,0.4450953,0.494088,0.5441288,0.5644,1.66
87,e141,273,5,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,0.009661266,0.007563436,0.006292,0.004901702,0.00474803,0.00433059,0.003178889,NA,0.00333877,0.001847,0.001243,0.001307,0.001119,0.0096613,0.0344494,0.0545978,0.087485,0.1549563,0.2409945,0.3455513,0.5966624,0.6494832,0.7887649,0.8672648,0.9323252,1.0135116,0.7558,1.97
88,e141,147,3,Cenrich,Namb,16,4,,,0.003001083,NA,0.003557,0.002464118,0.001242029,0.001950749,NA,0.000973994,0.00122371,0.001473,0.000918,0.000364,0.00074,0.0030011,0.0125601,0.0229527,0.0404691,0.0658011,0.0964869,0.1440264,0.2388004,0.2565068,0.329454,0.3901447,0.4225365,0.4596841,0.6487,1.8
89,e141,151,3,Cenrich,Nenrich,16,4,,,0.009336611,0.008278488,0.007391,0.005764409,0.005403705,0.005476326,0.00401703,0.001834582,0.00171077,0.001144,0.000467,0.000749,0.000895,0.0093366,0.0352302,0.0582916,0.0969458,0.1749422,0.2783388,0.4105162,0.6376378,0.6659388,0.7427439,0.7834945,0.8146489,0.8698112,0.7182,2.43
90,e141,301,5,Cenrich,Nenrich,16,4,,,0.010835491,0.008547723,0.005499,0.005943702,0.005031891,0.003971384,0.003096106,0.001691081,0.00266617,0.002083,0.001488,NA,0.001339,0.0108355,0.0387664,0.0583131,0.0928647,0.1692379,0.2542388,0.352746,0.5387438,0.5740893,0.7020205,0.7927838,0.866746,0.958938,0.5383,1.91
91,e141,331,6,Camb,Namb,1,1,SorghastrumNutans,C-4,0.004980699,0.004172325,0.003864,0.002903241,0.002567215,0.002908718,0.002134707,0.001464475,0.00238284,0.0017,0.001283,0.000772,0.000732,0.0049807,0.018306,0.0302059,0.0500267,0.0881519,0.140344,0.2105649,0.3505979,0.3818356,0.4917195,0.5675648,0.6197151,0.6700894,0.8535,2.14
92,e141,344,6,Camb,Namb,16,4,,,0.004342543,0.002923831,0.003493,0.002169919,0.002072777,0.002060845,0.001511389,0.001107172,0.00194856,0.001503,0.00092,0.000932,0.001251,0.0043425,0.0145327,0.0244422,0.040769,0.0704193,0.1096827,0.1594193,0.261341,0.2862075,0.3791805,0.4406834,0.4879092,0.5611714,0.7821,2.11
93,e141,362,6,Camb,Nenrich,1,1,SorghastrumNutans,C-4,0.004249758,0.003419485,0.003038,0.002281028,0.001890458,0.002028651,0.001263817,0.000788099,0.00137578,0.001654,0.001195,0.000421,0.001239,0.0042498,0.0153385,0.0248331,0.0404107,0.0694158,0.1067165,0.1524286,0.2322155,0.2498204,0.3317741,0.4042087,0.4450293,0.5010541,0.7489,2.14
94,e141,338,6,Camb,Nenrich,1,1,SolidagoRigida,Forb,0.005353643,0.005051303,0.004715,0.003699247,0.003098646,0.003030311,0.002217175,0.000812172,0.00188449,0.001101,0.001563,0.000953,0.000516,0.0053536,0.0208099,0.0352907,0.060025,0.10731,0.1655009,0.2385591,0.3560012,0.3781107,0.4583402,0.5265179,0.5903725,0.6393764,0.6801,1.74
95,e141,329,6,Camb,Namb,1,1,AsclepiasTuberosa,Forb,0.002372347,0.002118527,0.002037,0.001560365,0.001131751,0.001349095,0.001248653,0.000981388,0.00164411,0.001474,0.000972,0.000575,0.000726,0.0023723,0.0089817,0.0151743,0.0257281,0.0443586,0.0680353,0.1043535,0.1911915,0.2125268,0.2966432,0.3587888,0.3980615,0.4417276,0.5677,1.63
96,e141,355,6,Camb,Namb,16,4,,,0.004855376,0.004122005,0.003565,0.003012399,0.00293088,0.002389124,0.002107507,0.001553972,0.00136391,0.001321,0.001073,0.000643,0.00087,0.0048554,0.0179548,0.0292076,0.0486645,0.0902267,0.1404958,0.2033079,0.3458288,0.3690768,0.4415603,0.5024864,0.546019,0.5968011,0.3698,1.38
97,e141,322,6,Camb,Namb,1,1,LespedezaCapitata,Legume,0.00334889,0.002660956,0.002491,0.001697528,0.001295414,0.001648361,0.000955617,0.001083387,0.00133134,0.000605,0.000412,0.000343,0.000737,0.0033489,0.0120197,0.0196624,0.0318309,0.0525804,0.0807228,0.1168321,0.1964171,0.2158589,0.267788,0.2936233,0.3128335,0.3492179,0.796,2.41
98,e141,145,3,Cenrich,Namb,1,1,AgropyronRepens,C-3,0.004660207,0.003558752,0.003363,0.002388865,0.001898344,0.001686367,0.001136363,0.001292748,0.0012499,0.001126,0.001157,0.000742,0.000656,0.0046602,0.0164379,0.0267226,0.0434911,0.0732563,0.1072051,0.1464483,0.2412618,0.2615816,0.3256696,0.3838904,0.4321049,0.4789129,0.572,1.66
99,e141,345,6,Camb,Namb,1,1,SchizachyriumScoparium,C-4,0.007481917,0.006022687,0.005241,0.00409841,0.003561142,0.003082382,0.002333696,0.001573422,0.00172731,0.001165,0.000843,0.000198,0.000383,0.0074819,0.0270092,0.043513,0.0709588,0.1243071,0.1871812,0.2626319,0.4146294,0.4411122,0.5189361,0.5699908,0.5962119,0.6157619,0.866,2.8
100,e141,321,6,Camb,Nenrich,16,4,,,0.008840127,0.00742968,0.006374,0.005375244,0.004913497,0.004483897,0.003093263,0.002644502,0.00293049,0.001776,0.001459,0.001291,0.001741,0.0088401,0.0325396,0.0527163,0.0874634,0.1592537,0.2483142,0.3536991,0.5772476,0.6219905,0.7484925,0.830825,0.9008552,1.0026456,0.745,2.48
101,e141,22,1,Cenrich,Nenrich,1,1,BromusInermis,C-3,0.005660739,0.004937523,0.005002,0.003902161,0.003562576,0.003546184,0.00280246,0.001704126,0.00236791,0.001559,0.000809,0.000181,0.000457,0.0056607,0.0211965,0.0361372,0.0622986,0.114382,0.181907,0.2704162,0.4456239,0.4785321,0.5841439,0.6441408,0.6690728,0.6905783,0.534,1.55
102,e141,311,6,Camb,Nenrich,16,4,,,0.006477418,0.005303144,0.004505,0.003688662,0.003160856,0.002616433,0.001569491,0.001301276,0.00198867,0.001064,0.000944,0.000562,0.00129,0.0064774,0.0235611,0.0378744,0.0620474,0.1097301,0.1643422,0.2224216,0.3342474,0.3609106,0.4428783,0.4940346,0.5322592,0.5946662,0.922,2.43
103,e141,318,6,Camb,Nenrich,1,1,LespedezaCapitata,Legume,0.002601292,0.002045207,0.00202,0.001342825,0.001121579,0.001257015,0.000796619,0.001103145,0.00090484,0.000949,0.000537,0.000815,0.000582,0.0026013,0.009293,0.0153776,0.0251267,0.0422669,0.0649312,0.0934519,0.167696,0.1836607,0.2337294,0.2714124,0.3060424,0.3527564,0.881,2.17
104,e141,314,6,Camb,Namb,1,1,SolidagoRigida,Forb,0.002911361,0.003018488,0.002711,0.001826774,0.001072075,0.001514699,0.000948804,0.000861416,0.00153616,0.000493,0.000725,0.00024,0.000287,0.0029114,0.0118597,0.0203011,0.0334734,0.053388,0.0781836,0.1123897,0.1829446,0.2024626,0.2567191,0.2878938,0.3122738,0.3299709,0.585,1.77
105,e141,342,6,Camb,Nenrich,1,1,AsclepiasTuberosa,Forb,0.001744355,0.000933605,0.001236,NA,NA,0.000836503,0.000471896,0.000603513,0.00065933,0.000466,0.001072,0.000259,0.000723,0.0017444,0.0053559,0.0087622,0.0158305,0.0309903,0.0486833,0.0668185,0.1088253,0.1189559,0.1492429,0.1887771,0.2223303,0.2554629,0.568,1.924
106,e141,316,6,Camb,Nenrich,1,1,AmorphaCanescens,Legume,0.003096914,0.002904849,0.002683,0.00196483,0.00167202,0.00183907,0.001344632,0.001095307,0.00111601,0.001278,0.000473,0.000427,0.000693,0.0030969,0.0120035,0.0202745,0.033859,0.0591706,0.0926095,0.1369341,0.231967,0.2496679,0.3143938,0.3586534,0.3815764,0.4192218,0.649,2.303
107,e141,349,6,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,0.003225416,0.00268824,0.002466,0.001544948,0.001822147,0.001566577,0.001083059,0.001278206,0.00171056,0.000892,0.000798,0.000419,0.00149,0.0032254,0.0118273,0.0194476,0.03102,0.0547282,0.0867933,0.1236465,0.2158334,0.2399597,0.3098175,0.3528593,0.3836969,0.4481645,0.66,1.901
108,e141,307,6,Camb,Nenrich,16,4,,,0.006026469,0.004783787,0.004385,0.006483292,0.002806205,0.002770266,0.00217755,0.002159421,0.00221693,0.001861,0.001442,0.00025,0.000668,0.0060265,0.0216205,0.0351741,0.0688279,0.1320158,0.1849743,0.2539474,0.4230802,0.4581198,0.5680429,0.65206,0.6946004,0.7255551,0.834,3.107
109,e141,111,2,Camb,Namb,1,1,AgropyronRepens,C-3,0.004473811,0.003665449,0.003387,0.002924638,0.00271203,0.002563753,0.001851368,0.001101537,0.00206061,0.000866,0.00081,0.001094,0.000792,0.0044738,0.0162785,0.0267177,0.0454211,0.0847715,0.1348173,0.1962728,0.3110611,0.3368378,0.4152614,0.457971,0.5066679,0.569719,0.304,1.379
110,e141,330,6,Camb,Namb,1,1,AmorphaCanescens,Legume,0.001365929,0.001365929,0.001266,0.000860501,0.000610835,0.00103616,0.000250665,0.0002735,0.0005549,0.000836,0.000279,NA,0.000733,0.0013659,0.0054637,0.0093617,0.0155384,0.0257129,0.0415721,0.0591949,0.0796487,0.0864166,0.1241198,0.1522821,0.1724176,0.2140508,0.6,1.684
111,e141,354,6,Camb,Nenrich,16,4,,,0.004242135,0.003674339,0.003075,0.003062666,0.002183197,0.002240269,0.001519449,0.00082704,0.00105352,0.00128,0.000764,0.000157,0.000404,0.0042421,0.0158329,0.0256576,0.0440647,0.080346,0.1223975,0.1746731,0.26584,0.2809977,0.3441161,0.3959731,0.4191365,0.4380529,0.542,1.412
112,e141,158,3,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,0.002003245,0.001532401,0.001522,0.000842474,0.000474417,0.000899749,0.000418926,0.000498659,0.0006098,0.000555,0.00024,0.000263,0.000255,0.0020032,0.0070713,0.0116486,0.0184034,0.0274376,0.0407048,0.0589259,0.0947516,0.1036749,0.1350906,0.1551952,0.1680176,0.1853568,0.447,1.526
