location,country,site,lat,long,t,litter.spp,type,MAT,MAP,CDI_LT,CDI_atan,Nt,Mt,Cell,Lig,C,N,CN,LIG_N,Ls
Mastocka,Sweden,MAS,56.6,13.25,4.005479452,NSP,L,6.8,1070,0.3616,0.2024,1.155168893,43.9956,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
Mastocka,Sweden,MAS,56.6,13.25,5.024657534,NSP,L,6.8,1070,0.3616,0.2024,1.120638979,40.3304,50.89,34.2,44.49,0.5361,82.98824846,63.79406827,0.401927371
Mastocka,Sweden,MAS,56.6,13.25,0.515068493,SPI,L,6.8,1070,0.3616,0.2024,1.211576178,69.474,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Mastocka,Sweden,MAS,56.6,13.25,1.005479452,SPI,L,6.8,1070,0.3616,0.2024,1.227165416,57.834,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Mastocka,Sweden,MAS,56.6,13.25,1.509589041,SPI,L,6.8,1070,0.3616,0.2024,1.234743987,41.97,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Mastocka,Sweden,MAS,56.6,13.25,2.005479452,SPI,L,6.8,1070,0.3616,0.2024,1.220608098,37.47,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Mastocka,Sweden,MAS,56.6,13.25,3.002739726,SPI,L,6.8,1070,0.3616,0.2024,0.948471316,30.7012,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Mastocka,Sweden,MAS,56.6,13.25,4,SPI,L,6.8,1070,0.3616,0.2024,0.887268701,27.328,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Mastocka,Sweden,MAS,56.6,13.25,5.019178082,SPI,L,6.8,1070,0.3616,0.2024,0.877224442,26.502,52.07,28.12,46.43,0.4298,108.0269893,65.42577943,0.350667165
Kungs-Husby,Sweden,KUN,59.52,17.27,0.460273973,NSP,L,5.2,470,0.3,0.1739,0.971559037,77.6628,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,1.002739726,NSP,L,5.2,470,0.3,0.1739,0.977590458,73.0904,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,1.509589041,NSP,L,5.2,470,0.3,0.1739,0.976921366,57.572,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
Kungs-Husby,Sweden,KUN,59.52,17.27,1.994520548,NSP,L,5.2,470,0.3,0.1739,0.923739827,55.2088,47.5,27.73,43.66,0.5307,82.26870171,52.25174298,0.368602951
