LitterSpecies,SiteNo,PlotType,PlotAvgMoisture_gWgS,DeployDate,HarvestDate,Time_days,HarvestNo,LitterInitMass_g,LitterHarvestMass_g,LitterPropInitMass,LitterInitC_g,LitterHarvestC_g,LitterPropInitC,LitterInitN_g,LitterHarvestN_g,LitterPropInitN
BEB,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.809,1.69,0.601734221,1.314503878,0.7637448,0.581013729,0.030322967,0.0321945,1.061719998
BEB,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.794,1.253,0.448492147,1.307603595,0.56712033,0.433709675,0.030163791,0.02868117,0.95084766
BEB,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.802,1.754,0.62595936,1.311485004,0.76691896,0.584771429,0.030253327,0.02594166,0.857481222
BEB,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.785,2.2319,0.801517928,1.303290918,0.977594519,0.750096932,0.030064306,0.032764292,1.089807026
BEB,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.765,1.675,0.605733768,NA,NA,NA,NA,NA,NA
DEL,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.864,2.1217,0.740713432,1.255428591,0.914516351,0.728449517,0.0384689,0.039654573,1.030821597
DEL,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.894,1.567,0.541492765,1.268336812,0.66483109,0.524175506,0.038864434,0.03188845,0.820504673
DEL,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.930,1.189,0.405808412,1.284159792,0.5153126,0.401283861,0.039349283,0.03048596,0.774752621
DEL,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.865,1.489,0.519657167,1.255844985,0.65303073,0.519993103,0.038481659,0.03414277,0.887247865
DEL,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.926,2.2183,0.758094111,1.282494215,0.950874295,0.741425796,0.039298246,0.032120984,0.817364314
DEL,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.911,0.935,0.321200646,NA,NA,NA,NA,NA,NA
DIS,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.798,2.3673,0.846014781,1.280269064,1.040002236,0.81233099,0.024064331,0.022181601,0.921762616
DIS,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.832,1.837,0.648544956,1.295970077,0.82659489,0.637819426,0.024359452,0.02685694,1.102526426
DIS,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.840,1.375,0.484169552,1.29936489,0.596035,0.458712564,0.024423262,0.02679875,1.097263322
DIS,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.867,1.978,0.689965292,1.311671089,0.83147208,0.633902879,0.024654573,0.03198426,1.297295207
DIS,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.828,2.3419,0.828153582,1.293848318,1.036852806,0.801371221,0.024319571,0.027611001,1.135340783
DIS,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.802,1.409,0.502875214,NA,NA,NA,NA,NA,NA
ERI,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.825,2.65,0.938216593,1.34999229,1.166371,0.863983453,0.037170521,0.0385575,1.037313938
ERI,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.864,2.189,0.7643511,1.368804393,1.02241623,0.746941079,0.037688492,0.04270739,1.13316793
ERI,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.880,1.52,0.527814736,1.376418815,0.7203432,0.523345941,0.037898146,0.0379544,1.001484343
ERI,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.865,2.3,0.80284717,1.3692523,0.995279,0.726877727,0.037700824,0.040871,1.084087705
ERI,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.834,2.5221,0.88998154,1.354471362,1.128866739,0.83343714,0.037293848,0.040933683,1.097598814
ERI,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.825,1.327,0.469816384,NA,NA,NA,NA,NA,NA
HUM,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.937,2.4987,0.850774909,1.455914544,1.210820046,0.831655986,0.025512475,0.029584608,1.159613384
HUM,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.898,1.937,0.668389076,1.436602834,0.93070913,0.647854166,0.02517407,0.02787343,1.107227797
HUM,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.890,1.528,0.528644485,1.432834695,0.70466776,0.491799761,0.02510804,0.03390632,1.350416861
HUM,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.877,0.505,0.175523419,1.426240453,0.2429353,0.170332639,0.024992486,0.00787295,0.315012674
HUM,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.852,2.4679,0.865199842,1.413994002,1.215539466,0.859649662,0.024777888,0.032206095,1.299791782
HUM,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.874,1.279,0.44498434,NA,NA,NA,NA,NA,NA
INT,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.848,2.3744,0.833600686,1.320977288,1.045946944,0.791797826,0.041101924,0.037563008,0.91389902
INT,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.814,1.985,0.705445797,1.30495757,0.7875289,0.603490043,0.040603474,0.03721875,0.91663955
INT,10,dry,0.26885812,11/30/10,9/30/12,670,5,2.846,1.479,0.519756104,1.319678392,0.46817745,0.354766323,0.041061509,0.02438871,0.593955521
INT,10,dry,0.26885812,11/30/10,9/27/11,301,4,2.823,1.764,0.624831882,1.309287223,0.70699356,0.539983548,0.04073819,0.03543876,0.869914935
INT,10,dry,0.26885812,11/30/10,4/29/11,150,1,2.846,2.4156,0.848899828,1.319678392,1.05936138,0.802742082,0.041061509,0.041258448,1.004796193
INT,10,dry,0.26885812,11/30/10,9/20/13,1025,6,2.818,1.503,0.533440681,NA,NA,NA,NA,NA,NA
LUC,10,dry,0.26885812,11/30/10,5/26/11,177,2,2.812,2.1612,0.768428608,1.339740365,0.99371976,0.741725625,0.034199914,0.037756164,1.103984193
LUC,10,dry,0.26885812,11/30/10,8/1/11,244,3,2.812,1.794,0.638079074,1.339297768,0.83083728,0.620352919,0.034188615,0.03699228,1.082005799
